ÀÏÀÚ,±¸ºÐ,°è,05½Ã,06½Ã,07½Ã,08½Ã,09½Ã,10½Ã,11½Ã,12½Ã,13½Ã,14½Ã,15½Ã,16½Ã,17½Ã,18½Ã,19½Ã,20½Ã,21½Ã,22½Ã,23½Ã,24½Ã,01½Ã,02½Ã,03½Ã,04½Ã
2019.02.26,ÇÏÂ÷,"215,872",961,"5,195","13,503","24,042","11,745","7,758","8,096","8,795","10,004","9,593","10,237","11,172","14,189","22,891","18,457","12,010","10,271","8,681","5,495","2,702",68,2,0,5
2019.02.27,½ÂÂ÷,"224,140","3,566","8,783","23,741","22,461","11,732","8,514","9,112","10,571","10,934","9,948","11,621","13,024","18,527","22,353","11,395","9,996","8,167","5,989","2,924",752,8,5,0,17
2019.02.27,ÇÏÂ÷,"220,146",956,"5,257","13,344","24,459","12,045","7,696","8,044","9,136","10,259","9,843","10,388","11,727","14,672","23,532","18,486","11,985","10,038","9,175","6,095","2,901",102,3,0,3
2019.02.28,½ÂÂ÷,"229,432","3,508","8,541","23,578","22,492","11,790","8,883","9,013","10,602","11,070","10,542","11,532","13,167","18,586","22,738","12,650","10,527","8,567","6,895","3,593","1,128",8,4,0,18
2019.02.28,ÇÏÂ÷,"226,544",931,"5,211","13,427","24,644","12,050","8,365","8,107","9,411","10,091","10,084","10,937","11,975","15,022","23,372","19,398","12,850","10,434","9,452","6,745","3,907",122,6,0,3
2019.03.01,½ÂÂ÷,"156,831","2,626","3,899","5,888","7,759","8,490","8,926","9,939","10,492","10,817","10,592","10,906","11,821","12,962","10,952","8,451","7,097","6,513","5,188","2,721",765,6,0,0,21
2019.03.01,ÇÏÂ÷,"154,800",689,"3,463","4,940","6,220","7,425","6,790","8,004","9,005","9,891","9,938","10,465","11,359","12,802","12,762","10,437","8,176","7,631","7,107","4,893","2,732",65,0,0,6
2019.03.02,½ÂÂ÷,"161,193","2,433","3,620","5,597","7,888","8,648","8,918","10,538","11,571","11,982","11,731","11,932","12,807","12,746","10,434","7,955","7,124","6,569","5,289","2,652",731,15,0,0,13
2019.03.02,ÇÏÂ÷,"159,193",690,"3,240","4,178","5,962","7,589","7,052","8,509","9,921","10,754","11,156","11,382","12,514","13,030","12,522","10,197","7,983","7,702","7,288","4,842","2,624",56,1,0,1
2019.03.03,½ÂÂ÷,"127,736","1,664","2,444","3,461","5,698","7,198","7,113","8,009","9,187","9,653","9,971","9,812","10,641","9,861","8,437","6,694","6,203","5,531","3,934","1,763",442,3,0,0,17
